cohort	death	gapsize
September	7	0.5889
September	3	0.6869
September	12	0.98
September	1	0.1921
September	4	0.2798
September	2	0.2607
September	6	0.9467
September	6	0.6375
September	8	0.9
September	3	0.8237
September	1	0.5979
September	1	0.2914
September	3	0.5053
September	5	0.4714
September	2	0.6041
September	8	0.8812
September	4	0.8416
September	1	0.0577
September	2	0.9034
September	2	0.4348
September	7	0.9878
September	11	0.92
September	14	0.97
September	1	0.8507
September	10	0.8187
September	14	0.0291
September	1	0.3785
September	4	0.8384
September	2	0.8351
September	2	0.9674
October	1	0.6943
October	1	0.2591
October	2	0.7397
October	2	0.4663
October	14	0.9115
October	5	0.175
October	1	0.5628
October	8	0.2681
October	5	0.6967
October	2	0.702
October	4	0.7971
October	3	0.4047
October	5	0.0498
October	10	0.78
October	9	0.408
October	1	0.6226
October	11	0.87
October	3	0.8111
October	21	0.93
October	1	0.0375
October	4	0.256
October	9	0.77
October	8	0.7437
October	1	0.9082
October	3	0.9496
October	9	0.104
October	9	0.8691
October	16	0.9502
October	6	0.079
October	1	0.5658
