stems	diameter	xcoord	ycoord
3	10	1020	33
2	10	1231	0
1	8	1235	99
1	5	1239	90
5	15	1349	99
6	11	1426	54
1	9	1431	99
1	8	1638	93
3	11	1763	95
2	10	1753	99
1	7	1725	67
2	14	1716	84
1	8	1868	91
1	13	1897	41
1	3	1858	50
2	11	1897	60
2	13	1896	74
1	5	1848	77
1	4	1862	81
1	5	1870	92
1	16	1990	33
1	9	1955	68
1	12	1955	70
1	15	1953	70
2	9	1908	83
1	7	1985	94
3	13	1992	99
1	8	1951	68
1	5	1999	53
5	16	2078	17
6	10	2043	64
3	14	2005	64
5	9	2067	83
3	12	2086	93
1	7	2191	69
1	9	2333	90
1	17	2371	99
1	8	2543	48
1	8	2533	78
1	13	2524	82
1	6	2587	6
1	10	2619	24
3	14	2789	12
1	9	2799	36
2	7	2724	69
6	10	2731	72
1	6	2753	92
4	11	2748	99
1	10	2716	89
1	7	2751	86
1	12	2799	99
2	10	2800	38
2	13	2810	67
2	15	2956	13
7	18	389	155
1	14	407	136
1	10	502	134
1	13	588	100
1	8	597	199
2	12	601	191
1	11	682	135
1	7	736	190
5	10	1003	190
1	5	1029	198
1	14	1101	125
4	6	1189	173
2	14	1231	175
1	9	1287	181
1	8	1277	154
1	3	1333	128
1	7	1421	108
1	8	1450	122
1	3	1407	119
6	5	1453	130
1	7	1456	130
1	7	1486	136
4	16	1454	162
1	9	1447	173
1	7	1613	147
1	4	1763	142
4	10	1720	176
5	15	1788	199
6	13	1858	133
5	10	1876	135
3	12	1882	198
3	16	1860	187
5	10	1827	178
1	10	1815	188
1	15	1858	193
1	10	1838	186
1	16	1991	169
1	11	2060	137
1	12	2061	145
3	8	2097	196
3	12	2109	122
1	10	2191	120
1	7	2164	125
1	8	2236	134
1	10	2246	134
1	12	2437	165
3	12	2564	183
3	13	2609	148
3	12	2613	158
10	15	2755	164
1	15	2792	184
11	17	2819	156
3	16	2813	199
2	16	2953	176
1	12	2960	143
10	15	2940	197
1	6	2962	148
1	11	112	292
2	11	135	295
1	12	275	213
1	8	380	241
7	12	471	226
1	10	446	226
5	10	441	234
3	13	475	299
1	9	478	209
1	5	500	217
1	4	527	234
2	13	561	283
1	14	541	296
1	4	607	216
4	11	632	220
5	16	657	240
6	10	645	274
5	11	647	291
1	13	628	288
2	15	655	295
1	4	665	229
1	4	682	242
1	11	740	201
1	15	732	241
2	12	731	270
2	10	782	285
1	8	771	299
2	11	793	267
3	10	1062	209
1	9	1042	236
2	8	1053	242
1	7	1040	273
1	11	1179	216
2	9	1183	249
1	11	1161	260
1	3	1171	260
1	10	1130	285
2	9	1249	290
6	14	1697	250
1	11	1644	285
5	18	1702	289
4	18	1721	275
4	14	1780	225
1	10	1729	255
4	16	1848	202
4	13	1843	220
1	6	1858	232
1	5	1877	233
5	12	1844	292
1	10	1804	295
2	12	1856	299
5	8	1941	206
1	14	1934	244
6	15	1999	293
2	9	2039	220
1	13	2062	231
2	10	2019	278
1	19	2119	222
3	15	2131	232
2	16	2150	282
1	9	2199	261
7	15	2285	276
10	10	2219	266
5	10	2250	279
3	10	2378	233
1	6	2530	271
3	8	2567	297
1	13	2570	299
1	8	2625	256
1	7	2629	290
4	12	2762	236
4	12	2789	225
1	7	2777	213
5	15	2713	237
1	12	2770	242
4	16	2786	247
1	7	2764	255
1	12	2769	263
2	12	2768	268
1	9	2730	278
5	10	2734	292
8	13	2714	299
1	11	2867	222
1	11	2812	235
3	12	2818	230
3	14	2856	243
3	12	2863	261
11	12	2867	299
1	11	2998	269
7	13	0	388
1	6	394	346
2	11	321	355
1	6	359	372
5	12	329	382
3	9	339	381
1	8	344	387
1	8	310	388
1	8	432	314
5	11	428	318
4	8	477	320
1	5	423	331
2	10	474	334
3	13	467	348
1	12	444	355
1	8	455	360
4	11	445	387
3	13	430	395
1	6	548	307
1	6	578	307
1	10	543	309
1	9	540	338
1	9	576	341
2	11	577	358
13	10	538	381
1	10	566	399
1	9	586	367
1	9	573	344
1	6	630	300
1	5	629	349
4	14	658	383
9	11	648	384
1	10	666	389
4	12	786	325
7	8	727	327
2	10	793	338
1	10	760	370
3	7	780	377
1	5	792	387
1	8	891	366
1	3	814	392
4	12	916	306
1	9	978	309
1	7	933	309
1	8	1025	334
1	6	1053	389
3	10	1006	327
8	11	1135	312
1	10	1108	350
1	10	1184	388
5	8	1200	351
2	12	1200	388
1	7	1337	349
1	6	1338	381
7	15	1582	315
7	8	1666	321
3	9	1661	399
12	18	1727	326
1	9	1761	371
4	7	1791	387
1	10	1776	396
1	10	1835	351
1	9	1834	360
1	9	1880	377
1	8	1899	382
2	5	1870	392
1	8	1810	394
1	12	1800	399
5	10	1990	302
7	13	1953	344
1	11	1962	387
1	6	1956	389
2	10	2039	318
2	15	2021	319
1	11	2024	323
1	15	2119	301
5	10	2132	318
6	11	2163	341
3	11	2142	348
4	10	2101	392
14	11	2273	321
6	15	2298	302
2	6	2253	320
8	9	2217	336
2	11	2250	366
1	8	2208	369
1	8	2220	369
6	13	2273	373
8	10	2351	315
1	4	2301	301
1	5	2354	358
1	4	2324	360
2	6	2349	364
1	5	2317	381
1	3	2342	387
1	3	2342	388
1	3	2338	395
3	4	2364	397
2	10	2319	396
1	5	2482	361
7	14	2574	327
4	11	2571	345
1	5	2534	328
1	5	2557	368
2	9	2555	390
4	13	2610	312
1	10	2614	310
