slugs	field
3	Nursery
0	Nursery
0	Nursery
0	Nursery
0	Nursery
1	Nursery
0	Nursery
3	Nursery
0	Nursery
0	Nursery
0	Nursery
0	Nursery
2	Nursery
5	Nursery
6	Nursery
0	Nursery
4	Nursery
7	Nursery
0	Nursery
1	Nursery
0	Nursery
1	Nursery
0	Nursery
0	Nursery
0	Nursery
0	Nursery
10	Nursery
0	Nursery
0	Nursery
0	Nursery
0	Nursery
2	Nursery
0	Nursery
0	Nursery
1	Nursery
1	Nursery
0	Nursery
0	Nursery
0	Nursery
4	Nursery
2	Rookery
3	Rookery
0	Rookery
5	Rookery
9	Rookery
1	Rookery
3	Rookery
1	Rookery
2	Rookery
0	Rookery
5	Rookery
1	Rookery
2	Rookery
5	Rookery
1	Rookery
8	Rookery
1	Rookery
0	Rookery
3	Rookery
0	Rookery
2	Rookery
0	Rookery
0	Rookery
2	Rookery
2	Rookery
1	Rookery
5	Rookery
1	Rookery
0	Rookery
0	Rookery
0	Rookery
3	Rookery
4	Rookery
2	Rookery
3	Rookery
6	Rookery
2	Rookery
4	Rookery
1	Rookery
1	Rookery
