Year	Population	Delta
1955	710	0.087598059
1956	775	0.225463439
1957	971	0.123829486
1958	1099	0.201249567
1959	1344	-0.789946564
1960	610	0.399985642
1961	910	0.157285479
1962	1065	0.400759217
1963	1590	-0.457751945
1964	1006	0.378599826
1965	1469	0.08417095
1966	1598	-0.601142035
1967	876	0.231329136
1968	1104	0.080878479
1969	1197	-0.119664504
1970	1062	0.518143416
1971	1783	-0.137465087
1972	1554	-0.104360015
1973	1400	-0.043802623
1974	1340	-0.279753389
1975	1013	0.01761298
1976	1031	-0.000970403
1977	1030	-0.192077732
1978	850	0.103829933
1979	943	0.491769271
1980	1542	-0.096608039
1981	1400	-0.073339037
1982	1301	0.10359108
1983	1443	-0.311289573
1984	1057	0.203847891
1985	1296	-0.601772907
1986	710	0.379786094
1987	1038	0.332196663
1988	1447	-0.734775766
1989	694	0.247625275
1990	889	0.488531707
1991	1449	-0.414825551
1992	957	0.293152973
1993	1283	0.169509249
1994	1520	-0.255741507
1995	1177	0.442439438
1996	1832	-0.045221213
1997	1751	0.116830745
1998	1968	-0.746367877
1999	933	NA
