density	jan	feb	mar	fm	all	delta
6.652863029	13	6	4	10	23	0.225463439
6.878326468	12	4	3	7	19	0.123829486
7.002155954	2	7	7	14	16	0.201249567
7.203405521	4	3	5	8	12	-0.789946564
6.413458957	6	9	2	11	17	0.399985642
6.8134446	10	11	0	11	21	0.157285479
6.970730078	0	5	5	10	10	0.400759217
7.371489295	7	9	7	16	23	-0.457751945
6.913737351	9	2	3	5	14	0.378599826
7.292337176	2	1	5	6	8	0.08417095
7.376508126	1	8	14	22	23	-0.601142035
6.775366091	6	1	5	6	12	0.231329136
7.006695227	2	1	0	1	3	0.080878479
7.087573706	4	4	0	4	8	-0.119664504
6.967909202	2	3	0	3	5	0.518143416
7.486052618	4	5	4	9	13	-0.137465087
7.348587531	2	4	1	5	7	-0.104360015
7.244227516	10	1	0	1	11	-0.043802623
7.200424893	9	2	0	2	11	-0.279753389
6.920671504	10	3	3	6	16	0.01761298
6.938284484	2	1	6	7	9	-0.000970403
6.937314081	4	1	3	4	8	-0.192077732
6.745236349	2	2	10	12	14	0.103829933
6.849066283	0	0	1	1	1	0.491769271
7.340835554	9	7	2	9	18	-0.096608039
7.244227516	3	7	7	14	17	-0.073339037
7.170888479	15	5	2	7	22	0.10359108
7.274479559	15	5	1	6	21	-0.311289573
6.963189986	0	1	1	2	2	0.203847891
7.167037877	8	0	8	8	16	-0.601772907
6.56526497	3	0	5	5	8	0.379786094
6.945051064	2	7	2	9	11	0.332196663
7.277247727	9	12	6	18	27	-0.734775766
6.542471961	11	17	6	23	34	0.247625275
6.790097236	1	0	0	0	1	0.488531707
7.278628942	3	14	8	22	25	-0.414825551
6.863803391	18	3	3	6	24	0.293152973
7.156956365	7	5	7	12	19	0.169509249
7.326465614	5	4	2	6	11	-0.255741507
7.070724107	4	4	0	4	8	0.442439438
