height	days	subject	mix
23.47	2	1	loam
23.00	4	1	loam
25.00	6	1	loam
26.49	8	1	loam
21.50	2	2	loam
24.98	4	2	loam
23.92	6	2	loam
27.49	8	2	loam
22.92	2	3	loam
23.93	4	3	loam
24.42	6	3	loam
27.91	8	3	loam
24.42	2	4	loam
24.44	4	4	loam
24.96	6	4	loam
26.42	8	4	loam
23.40	2	5	loam
23.45	4	5	loam
25.99	6	5	loam
27.91	8	5	loam
25.45	2	6	loam
22.93	4	6	loam
25.98	6	6	loam
26.98	8	6	loam
24.50	2	7	loam
23.98	4	7	loam
25.45	6	7	loam
28.95	8	7	loam
22.97	2	8	loam
24.99	4	8	loam
25.42	6	8	loam
29.41	8	8	loam
23.48	2	9	loam
25.98	4	9	loam
27.47	6	9	loam
30.95	8	9	loam
23.99	2	10	loam
26.94	4	10	loam
26.98	6	10	loam
27.43	8	10	loam
24.46	2	11	loam
21.99	4	11	loam
25.42	6	11	loam
27.42	8	11	loam
24.46	2	12	loam
25.93	4	12	loam
27.48	6	12	loam
31.41	8	12	loam
25.99	2	13	loam
26.96	4	13	loam
28.45	6	13	loam
29.99	8	13	loam
26.90	2	14	loam
28.90	4	14	loam
28.00	6	14	loam
28.49	8	14	loam
27.41	2	15	loam
26.42	4	15	loam
30.47	6	15	loam
32.49	8	15	loam
28.96	2	16	loam
29.49	4	16	loam
32.46	6	16	loam
32.98	8	16	loam
17.93	2	17	sand
20.41	4	17	sand
20.42	6	17	sand
20.99	8	17	sand
21.45	2	18	sand
22.43	4	18	sand
23.43	6	18	sand
23.00	8	18	sand
21.40	2	19	sand
22.49	4	19	sand
22.44	6	19	sand
23.97	8	19	sand
22.45	2	20	sand
21.50	4	20	sand
23.00	6	20	sand
24.43	8	20	sand
22.90	2	21	sand
24.41	4	21	sand
23.99	6	21	sand
24.98	8	21	sand
22.93	2	22	sand
23.99	4	22	sand
24.49	6	22	sand
26.43	8	22	sand
22.43	2	23	sand
22.92	4	23	sand
25.43	6	23	sand
26.91	8	23	sand
24.42	2	24	sand
24.44	4	24	sand
24.94	6	24	sand
25.46	8	24	sand
21.90	2	25	sand
25.45	4	25	sand
25.95	6	25	sand
27.45	8	25	sand
24.93	2	26	sand
25.99	4	26	sand
26.49	6	26	sand
27.90	8	26	sand
25.99	2	27	sand
26.42	4	27	sand
29.49	6	27	sand
29.45	8	27	sand
