Block	variety	yield	latitude	longitude
1	LANCER	29.25	4.3	19.2
1	BRULE	31.55	4.3	20.4
1	REDLAND	35.05	4.3	21.6
1	CODY	30.1	4.3	22.8
1	ARAPAHOE	33.05	4.3	24
1	NE83404	30.25	4.3	25.2
1	NE83406	35.2	4.3	26.4
1	NE83407	19.4	8.6	1.2
1	CENTURA	24.35	8.6	2.4
1	SCOUT66	25.55	8.6	3.6
1	COLT	25.1	8.6	4.8
1	NE83498	24.6	8.6	6
1	NE84557	25.45	8.6	7.2
1	NE83432	13.4	8.6	8.4
1	NE85556	31.65	8.6	9.6
1	NE85623	25.65	8.6	10.8
1	CENTURK78	31.6	8.6	12
1	NORKAN	22.3	8.6	13.2
1	KS831374	34.2	8.6	14.4
1	TAM200	21.1	8.6	15.6
1	NE86482	28	8.6	16.8
1	HOMESTEAD	28.3	8.6	18
1	LANCOTA	25.7	8.6	19.2
1	NE86501	31.75	8.6	20.4
1	NE86503	42	8.6	21.6
1	NE86507	30.9	8.6	22.8
1	NE86509	32.9	8.6	24
1	TAM107	24.05	8.6	25.2
1	CHEYENNE	28.2	8.6	26.4
1	BUCKSKIN	29.85	12.9	1.2
1	NE86527	29	12.9	2.4
1	NE86582	20.9	12.9	3.6
1	NE86606	26.3	12.9	4.8
1	NE86607	25.85	12.9	6
1	ROUGHRIDER	23.95	12.9	7.2
1	VONA	25.3	12.9	8.4
1	SIOUXLAND	27.1	12.9	9.6
1	GAGE	25.65	12.9	10.8
1	NE83T12	25.2	12.9	12
1	NE86T666	18.4	12.9	13.2
1	NE87403	21.85	12.9	14.4
1	NE87408	27	12.9	15.6
1	NE87409	31.55	12.9	16.8
1	NE87446	30.5	12.9	18
1	NE87451	31.95	12.9	19.2
1	NE87457	30.55	12.9	20.4
1	NE87463	27.25	12.9	21.6
1	NE87499	29.9	12.9	22.8
1	NE87512	32.8	12.9	24
1	NE87513	27.85	12.9	25.2
1	NE87522	24.3	12.9	26.4
1	NE87612	28.15	17.2	1.2
1	NE87613	26.95	17.2	2.4
1	NE87615	25.1	17.2	3.6
1	NE87619	30.25	17.2	4.8
1	NE87627	20.15	17.2	6
2	CENTURA	27.8	17.2	8.4
2	NE85623	28.45	17.2	9.6
2	CODY	22.75	17.2	10.8
2	NE86582	26.7	17.2	12
2	NE87408	25.65	17.2	13.2
2	NE87451	27.45	17.2	14.4
2	NE83432	31	17.2	15.6
2	CENTURK78	24.9	17.2	16.8
2	NE83T12	25.65	17.2	18
2	NE87409	32.4	17.2	19.2
2	NE87513	31.2	17.2	20.4
2	NE87627	27.6	17.2	21.6
2	ARAPAHOE	34.65	17.2	22.8
2	LANCER	28.5	17.2	24
2	TAM107	29.45	17.2	25.2
2	REDLAND	30.55	17.2	26.4
2	VONA	26.8	21.5	1.2
2	NE87463	23.85	21.5	2.4
2	NE86507	27.4	21.5	3.6
2	BUCKSKIN	30.1	21.5	4.8
2	ROUGHRIDER	24.75	21.5	6
2	NE86527	25.35	21.5	7.2
2	SCOUT66	26	21.5	8.4
2	NE86509	25	21.5	9.6
2	NE86606	29.35	21.5	10.8
2	NE84557	28.6	21.5	12
2	KS831374	26.7	21.5	13.2
2	GAGE	25.25	21.5	14.4
2	NE87619	33.75	21.5	15.6
2	NE87499	22.3	21.5	16.8
2	CHEYENNE	28.05	21.5	18
2	NE86607	34.55	21.5	19.2
2	NE83498	37.4	21.5	20.4
2	NE83404	29	21.5	21.6
2	NE87446	31.2	21.5	22.8
2	SIOUXLAND	37.1	21.5	24
2	HOMESTEAD	29.5	21.5	25.2
2	NE86501	31.35	21.5	26.4
2	NE87512	20.2	25.8	1.2
2	NE83407	26.4	25.8	2.4
2	NE87403	25.65	25.8	3.6
2	NE87457	31.9	25.8	4.8
2	NE83406	31.05	25.8	6
2	COLT	30.75	25.8	7.2
2	NE87522	27.15	25.8	8.4
2	NORKAN	30.3	25.8	9.6
2	NE87615	31.7	25.8	10.8
2	NE85556	30.5	25.8	12
2	TAM200	24.35	25.8	13.2
2	LANCOTA	26.1	25.8	14.4
2	NE86503	29.95	25.8	15.6
