pH	Biomass	Species
high	0.469297221	30
high	1.730870426	39
high	2.089778481	44
high	3.925787136	35
high	4.366792653	25
high	5.481974683	29
high	6.68468591	23
high	7.511650634	18
high	8.132202505	19
high	9.572128635	12
high	0.086653665	39
high	1.236973905	35
high	2.532043235	30
high	3.407941525	30
high	4.605045962	33
high	5.367717087	20
high	6.560842148	26
high	7.242062143	36
high	8.503632993	18
high	9.390953422	7
high	0.76488801	39
high	1.176470196	39
high	2.325120818	34
high	3.222882069	31
high	4.136129299	24
high	5.137176521	25
high	6.421938112	20
high	7.065526382	21
high	8.745929177	12
high	9.981770129	11
mid	0.175762697	29
mid	1.376778303	30
mid	2.551042556	21
mid	3.00027434	18
mid	4.905623865	13
mid	5.343305425	13
mid	7.7	9
mid	0.553688929	24
mid	1.990296437	26
mid	2.91263671	26
mid	3.216451335	20
mid	4.979884675	21
mid	5.658722899	15
mid	8.1	8
mid	0.739569861	31
mid	1.526934202	28
mid	2.232122387	18
mid	3.885288176	16
mid	4.626505411	19
mid	5.120968439	20
mid	8.3	6
mid	0.511278577	25
mid	1.478232688	23
mid	2.934558004	25
mid	3.50548891	22
mid	4.617909137	15
mid	5.696963821	11
mid	6.093016876	17
mid	0.730062798	24
mid	1.158068376	27
low	0.100847904	18
low	0.138596089	19
low	0.863515079	15
low	1.292919034	19
low	2.46916355	12
low	2.366553089	11
low	2.629217082	15
low	3.252286524	9
low	4.417276192	3
low	4.780810391	2
low	0.050175289	18
low	0.482836915	19
low	0.652667143	13
low	1.555336555	9
low	1.671638196	8
low	2.870053904	14
low	2.510720525	13
low	3.497603852	4
low	3.678761859	8
low	4.831542449	2
low	0.289722659	17
low	0.077560095	14
low	1.429020407	15
low	1.120740925	17
low	1.507953837	9
low	2.325963179	8
low	2.995705821	12
low	3.538199085	14
low	4.364541206	7
low	4.870507888	3
