"vals" "Block" "Rabbit" "Lime" "Competition" "Nutrient"
"1" 2 "A" "Fenced" "Unlimed" "Control" "N"
"2" 2 "A" "Fenced" "Unlimed" "Control" "P"
"3" 4 "A" "Fenced" "Unlimed" "Control" "O"
"4" 2 "A" "Fenced" "Unlimed" "Control" "NP"
"5" 3 "A" "Fenced" "Unlimed" "Grass" "N"
"6" 1 "A" "Fenced" "Unlimed" "Grass" "P"
"7" 0 "A" "Fenced" "Unlimed" "Grass" "O"
"8" 3 "A" "Fenced" "Unlimed" "Grass" "NP"
"9" 4 "A" "Fenced" "Unlimed" "Herb" "N"
"10" 1 "A" "Fenced" "Unlimed" "Herb" "P"
"11" 4 "A" "Fenced" "Unlimed" "Herb" "O"
"12" 4 "A" "Fenced" "Unlimed" "Herb" "NP"
"13" 3 "A" "Fenced" "Limed" "Control" "N"
"14" 5 "A" "Fenced" "Limed" "Control" "P"
"15" 2 "A" "Fenced" "Limed" "Control" "O"
"16" 3 "A" "Fenced" "Limed" "Control" "NP"
"17" 2 "A" "Fenced" "Limed" "Grass" "N"
"18" 3 "A" "Fenced" "Limed" "Grass" "P"
"19" 2 "A" "Fenced" "Limed" "Grass" "O"
"20" 4 "A" "Fenced" "Limed" "Grass" "NP"
"21" 0 "A" "Fenced" "Limed" "Herb" "N"
"22" 4 "A" "Fenced" "Limed" "Herb" "P"
"23" 3 "A" "Fenced" "Limed" "Herb" "O"
"24" 3 "A" "Fenced" "Limed" "Herb" "NP"
"25" 5 "A" "Grazed" "Unlimed" "Control" "N"
"26" 2 "A" "Grazed" "Unlimed" "Control" "P"
"27" 4 "A" "Grazed" "Unlimed" "Control" "O"
"28" 1 "A" "Grazed" "Unlimed" "Control" "NP"
"29" 5 "A" "Grazed" "Unlimed" "Grass" "N"
"30" 3 "A" "Grazed" "Unlimed" "Grass" "P"
"31" 3 "A" "Grazed" "Unlimed" "Grass" "O"
"32" 3 "A" "Grazed" "Unlimed" "Grass" "NP"
"33" 6 "A" "Grazed" "Unlimed" "Herb" "N"
"34" 3 "A" "Grazed" "Unlimed" "Herb" "P"
"35" 6 "A" "Grazed" "Unlimed" "Herb" "O"
"36" 5 "A" "Grazed" "Unlimed" "Herb" "NP"
"37" 0 "A" "Grazed" "Limed" "Control" "N"
"38" 1 "A" "Grazed" "Limed" "Control" "P"
"39" 1 "A" "Grazed" "Limed" "Control" "O"
"40" 5 "A" "Grazed" "Limed" "Control" "NP"
"41" 1 "A" "Grazed" "Limed" "Grass" "N"
"42" 6 "A" "Grazed" "Limed" "Grass" "P"
"43" 3 "A" "Grazed" "Limed" "Grass" "O"
"44" 3 "A" "Grazed" "Limed" "Grass" "NP"
"45" 3 "A" "Grazed" "Limed" "Herb" "N"
"46" 3 "A" "Grazed" "Limed" "Herb" "P"
"47" 4 "A" "Grazed" "Limed" "Herb" "O"
"48" 2 "A" "Grazed" "Limed" "Herb" "NP"
"49" 3 "B" "Fenced" "Unlimed" "Control" "N"
"50" 2 "B" "Fenced" "Unlimed" "Control" "P"
"51" 0 "B" "Fenced" "Unlimed" "Control" "O"
"52" 2 "B" "Fenced" "Unlimed" "Control" "NP"
"53" 1 "B" "Fenced" "Unlimed" "Grass" "N"
"54" 0 "B" "Fenced" "Unlimed" "Grass" "P"
"55" 6 "B" "Fenced" "Unlimed" "Grass" "O"
"56" 4 "B" "Fenced" "Unlimed" "Grass" "NP"
"57" 2 "B" "Fenced" "Unlimed" "Herb" "N"
"58" 4 "B" "Fenced" "Unlimed" "Herb" "P"
"59" 6 "B" "Fenced" "Unlimed" "Herb" "O"
"60" 6 "B" "Fenced" "Unlimed" "Herb" "NP"
