Block	Insect	Mollusc	Rabbit	Lime	Competition	Nutrient	Biomass
A	Sprayed	Slugs	Fenced	Unlimed	Control	N	7.953950453
A	Sprayed	Slugs	Fenced	Unlimed	Control	P	6.357470058
A	Sprayed	Slugs	Fenced	Unlimed	Control	O	4.924768842
A	Sprayed	Slugs	Fenced	Unlimed	Control	NP	10.36612119
A	Sprayed	Slugs	Fenced	Unlimed	Grass	N	6.387534363
A	Sprayed	Slugs	Fenced	Unlimed	Grass	P	5.186303403
A	Sprayed	Slugs	Fenced	Unlimed	Grass	O	3.897043445
A	Sprayed	Slugs	Fenced	Unlimed	Grass	NP	9.074999483
A	Sprayed	Slugs	Fenced	Unlimed	Herb	N	8.481251751
A	Sprayed	Slugs	Fenced	Unlimed	Herb	P	6.584770411
A	Sprayed	Slugs	Fenced	Unlimed	Herb	O	5.24153625
A	Sprayed	Slugs	Fenced	Unlimed	Herb	NP	10.33883599
A	Sprayed	Slugs	Fenced	Limed	Control	N	8.719582903
A	Sprayed	Slugs	Fenced	Limed	Control	P	7.235013952
A	Sprayed	Slugs	Fenced	Limed	Control	O	6.283351563
A	Sprayed	Slugs	Fenced	Limed	Control	NP	11.00702607
A	Sprayed	Slugs	Fenced	Limed	Grass	N	7.714405292
A	Sprayed	Slugs	Fenced	Limed	Grass	P	5.38570235
A	Sprayed	Slugs	Fenced	Limed	Grass	O	5.194102964
A	Sprayed	Slugs	Fenced	Limed	Grass	NP	9.496538649
A	Sprayed	Slugs	Fenced	Limed	Herb	N	9.417398919
A	Sprayed	Slugs	Fenced	Limed	Herb	P	7.486114066
A	Sprayed	Slugs	Fenced	Limed	Herb	O	6.337567265
A	Sprayed	Slugs	Fenced	Limed	Herb	NP	11.45943638
A	Sprayed	Slugs	Grazed	Unlimed	Control	N	6.136038625
A	Sprayed	Slugs	Grazed	Unlimed	Control	P	4.246666991
A	Sprayed	Slugs	Grazed	Unlimed	Control	O	2.727841743
A	Sprayed	Slugs	Grazed	Unlimed	Control	NP	8.345080549
A	Sprayed	Slugs	Grazed	Unlimed	Grass	N	4.74739912
A	Sprayed	Slugs	Grazed	Unlimed	Grass	P	2.418083702
A	Sprayed	Slugs	Grazed	Unlimed	Grass	O	1.211362018
A	Sprayed	Slugs	Grazed	Unlimed	Grass	NP	6.997703262
A	Sprayed	Slugs	Grazed	Unlimed	Herb	N	6.355062718
A	Sprayed	Slugs	Grazed	Unlimed	Herb	P	4.282279431
A	Sprayed	Slugs	Grazed	Unlimed	Herb	O	3.47761598
A	Sprayed	Slugs	Grazed	Unlimed	Herb	NP	8.877866461
A	Sprayed	Slugs	Grazed	Limed	Control	N	7.537842982
A	Sprayed	Slugs	Grazed	Limed	Control	P	5.367249772
A	Sprayed	Slugs	Grazed	Limed	Control	O	3.971342429
A	Sprayed	Slugs	Grazed	Limed	Control	NP	8.765320444
A	Sprayed	Slugs	Grazed	Limed	Grass	N	5.923405379
A	Sprayed	Slugs	Grazed	Limed	Grass	P	3.975554389
A	Sprayed	Slugs	Grazed	Limed	Grass	O	3.130979288
A	Sprayed	Slugs	Grazed	Limed	Grass	NP	7.558918175
A	Sprayed	Slugs	Grazed	Limed	Herb	N	7.046719823
A	Sprayed	Slugs	Grazed	Limed	Herb	P	5.046707286
A	Sprayed	Slugs	Grazed	Limed	Herb	O	3.923579976
A	Sprayed	Slugs	Grazed	Limed	Herb	NP	9.690266447
B	Sprayed	Pellets	Fenced	Unlimed	Control	N	7.21810692
B	Sprayed	Pellets	Fenced	Unlimed	Control	P	5.239384142
B	Sprayed	Pellets	Fenced	Unlimed	Control	O	4.202983456
B	Sprayed	Pellets	Fenced	Unlimed	Control	NP	9.711847245
B	Sprayed	Pellets	Fenced	Unlimed	Grass	N	5.763118134
B	Sprayed	Pellets	Fenced	Unlimed	Grass	P	3.794524452
B	Sprayed	Pellets	Fenced	Unlimed	Grass	O	3.235974774
B	Sprayed	Pellets	Fenced	Unlimed	Grass	NP	7.719584945
B	Sprayed	Pellets	Fenced	Unlimed	Herb	N	7.955072746
B	Sprayed	Pellets	Fenced	Unlimed	Herb	P	5.980764864
B	Sprayed	Pellets	Fenced	Unlimed	Herb	O	4.303052013
B	Sprayed	Pellets	Fenced	Unlimed	Herb	NP	9.485144537
B	Sprayed	Pellets	Fenced	Limed	Control	N	8.61582726
B	Sprayed	Pellets	Fenced	Limed	Control	P	6.250844822
B	Sprayed	Pellets	Fenced	Limed	Control	O	5.758328285
B	Sprayed	Pellets	Fenced	Limed	Control	NP	10.75341233
B	Sprayed	Pellets	Fenced	Limed	Grass	N	6.973805026
B	Sprayed	Pellets	Fenced	Limed	Grass	P	4.95048979
B	Sprayed	Pellets	Fenced	Limed	Grass	O	3.971554068
B	Sprayed	Pellets	Fenced	Limed	Grass	NP	8.843827039
B	Sprayed	Pellets	Fenced	Limed	Herb	N	8.136678947
B	Sprayed	Pellets	Fenced	Limed	Herb	P	6.535264974
B	Sprayed	Pellets	Fenced	Limed	Herb	O	5.048637892
B	Sprayed	Pellets	Fenced	Limed	Herb	NP	10.88405986
B	Sprayed	Pellets	Grazed	Unlimed	Control	N	5.363207759
B	Sprayed	Pellets	Grazed	Unlimed	Control	P	3.27472708
B	Sprayed	Pellets	Grazed	Unlimed	Control	O	2.305979332
B	Sprayed	Pellets	Grazed	Unlimed	Control	NP	7.23434696
B	Sprayed	Pellets	Grazed	Unlimed	Grass	N	4.232825336
B	Sprayed	Pellets	Grazed	Unlimed	Grass	P	1.788954916
B	Sprayed	Pellets	Grazed	Unlimed	Grass	O	0.537560873
B	Sprayed	Pellets	Grazed	Unlimed	Grass	NP	5.596661699
B	Sprayed	Pellets	Grazed	Unlimed	Herb	N	5.725876504
B	Sprayed	Pellets	Grazed	Unlimed	Herb	P	3.044473309
B	Sprayed	Pellets	Grazed	Unlimed	Herb	O	2.983699471
B	Sprayed	Pellets	Grazed	Unlimed	Herb	NP	7.12382962
B	Sprayed	Pellets	Grazed	Limed	Control	N	6.142023306
B	Sprayed	Pellets	Grazed	Limed	Control	P	4.022219167
B	Sprayed	Pellets	Grazed	Limed	Control	O	3.425764695
B	Sprayed	Pellets	Grazed	Limed	Control	NP	8.646394335
B	Sprayed	Pellets	Grazed	Limed	Grass	N	4.950089822
B	Sprayed	Pellets	Grazed	Limed	Grass	P	3.043468019
B	Sprayed	Pellets	Grazed	Limed	Grass	O	2.110740079
B	Sprayed	Pellets	Grazed	Limed	Grass	NP	6.78964438
B	Sprayed	Pellets	Grazed	Limed	Herb	N	6.008785273
B	Sprayed	Pellets	Grazed	Limed	Herb	P	4.491494274
B	Sprayed	Pellets	Grazed	Limed	Herb	O	3.176588815
B	Sprayed	Pellets	Grazed	Limed	Herb	NP	8.490082762
C	Unsprayed	Slugs	Fenced	Unlimed	Control	N	5.314134269
C	Unsprayed	Slugs	Fenced	Unlimed	Control	P	3.323980238
C	Unsprayed	Slugs	Fenced	Unlimed	Control	O	2.021248912
C	Unsprayed	Slugs	Fenced	Unlimed	Control	NP	7.896892072
C	Unsprayed	Slugs	Fenced	Unlimed	Grass	N	4.08836225
C	Unsprayed	Slugs	Fenced	Unlimed	Grass	P	2.016983947
C	Unsprayed	Slugs	Fenced	Unlimed	Grass	O	1.010668851
C	Unsprayed	Slugs	Fenced	Unlimed	Grass	NP	5.990109449
C	Unsprayed	Slugs	Fenced	Unlimed	Herb	N	5.776223055
C	Unsprayed	Slugs	Fenced	Unlimed	Herb	P	3.497954691
C	Unsprayed	Slugs	Fenced	Unlimed	Herb	O	2.624344253
C	Unsprayed	Slugs	Fenced	Unlimed	Herb	NP	7.896234057
C	Unsprayed	Slugs	Fenced	Limed	Control	N	6.926004195
C	Unsprayed	Slugs	Fenced	Limed	Control	P	4.498530981
C	Unsprayed	Slugs	Fenced	Limed	Control	O	3.28408761
C	Unsprayed	Slugs	Fenced	Limed	Control	NP	8.235746282
C	Unsprayed	Slugs	Fenced	Limed	Grass	N	4.975564334
C	Unsprayed	Slugs	Fenced	Limed	Grass	P	3.228653169
C	Unsprayed	Slugs	Fenced	Limed	Grass	O	1.814104521
C	Unsprayed	Slugs	Fenced	Limed	Grass	NP	6.531824461
C	Unsprayed	Slugs	Fenced	Limed	Herb	N	6.959359552
C	Unsprayed	Slugs	Fenced	Limed	Herb	P	5.08148688
C	Unsprayed	Slugs	Fenced	Limed	Herb	O	3.49397502
C	Unsprayed	Slugs	Fenced	Limed	Herb	NP	8.540002367
C	Unsprayed	Slugs	Grazed	Unlimed	Control	N	3.374576577
C	Unsprayed	Slugs	Grazed	Unlimed	Control	P	1.927886374
C	Unsprayed	Slugs	Grazed	Unlimed	Control	O	0.98340794
C	Unsprayed	Slugs	Grazed	Unlimed	Control	NP	5.260702023
C	Unsprayed	Slugs	Grazed	Unlimed	Grass	N	2.065892129
C	Unsprayed	Slugs	Grazed	Unlimed	Grass	P	0.337927595
C	Unsprayed	Slugs	Grazed	Unlimed	Grass	O	-1.001763402
C	Unsprayed	Slugs	Grazed	Unlimed	Grass	NP	3.892959211
C	Unsprayed	Slugs	Grazed	Unlimed	Herb	N	3.663742206
