yield	block	irrigation	density	fertilizer
90	A	control	low	N
95	A	control	low	P
107	A	control	low	NP
92	A	control	medium	N
89	A	control	medium	P
92	A	control	medium	NP
81	A	control	high	N
92	A	control	high	P
93	A	control	high	NP
80	A	irrigated	low	N
87	A	irrigated	low	P
100	A	irrigated	low	NP
121	A	irrigated	medium	N
110	A	irrigated	medium	P
119	A	irrigated	medium	NP
78	A	irrigated	high	N
98	A	irrigated	high	P
122	A	irrigated	high	NP
83	B	control	low	N
80	B	control	low	P
95	B	control	low	NP
98	B	control	medium	N
98	B	control	medium	P
106	B	control	medium	NP
74	B	control	high	N
81	B	control	high	P
74	B	control	high	NP
102	B	irrigated	low	N
109	B	irrigated	low	P
105	B	irrigated	low	NP
99	B	irrigated	medium	N
94	B	irrigated	medium	P
123	B	irrigated	medium	NP
136	B	irrigated	high	N
133	B	irrigated	high	P
132	B	irrigated	high	NP
85	C	control	low	N
88	C	control	low	P
88	C	control	low	NP
112	C	control	medium	N
104	C	control	medium	P
91	C	control	medium	NP
82	C	control	high	N
78	C	control	high	P
94	C	control	high	NP
60	C	irrigated	low	N
104	C	irrigated	low	P
114	C	irrigated	low	NP
90	C	irrigated	medium	N
118	C	irrigated	medium	P
113	C	irrigated	medium	NP
119	C	irrigated	high	N
122	C	irrigated	high	P
136	C	irrigated	high	NP
86	D	control	low	N
78	D	control	low	P
89	D	control	low	NP
79	D	control	medium	N
86	D	control	medium	P
87	D	control	medium	NP
85	D	control	high	N
89	D	control	high	P
83	D	control	high	NP
73	D	irrigated	low	N
114	D	irrigated	low	P
114	D	irrigated	low	NP
109	D	irrigated	medium	N
131	D	irrigated	medium	P
126	D	irrigated	medium	NP
116	D	irrigated	high	N
136	D	irrigated	high	P
133	D	irrigated	high	NP
