RefNo	Date	Transect	Position	Location	Height
1	15/03/1994	A	1	1	1
2	15/03/1994	A	1	2	1
3	15/03/1994	A	1	3	2
4	15/03/1994	A	1	4	1.5
5	15/03/1994	A	1	5	2.5
6	15/03/1994	A	1	6	1
7	15/03/1994	A	1	7	1.5
8	15/03/1994	A	1	8	4
9	15/03/1994	A	1	9	3
10	15/03/1994	A	1	10	3
11	15/03/1994	A	1	11	3
12	15/03/1994	A	1	12	6
13	15/03/1994	A	1	13	4
14	15/03/1994	A	1	14	1
15	15/03/1994	A	1	15	2
16	15/03/1994	A	1	16	2.5
17	15/03/1994	A	1	17	4.5
18	15/03/1994	A	1	18	4
19	15/03/1994	A	1	19	7.5
20	15/03/1994	A	1	20	9
21	15/03/1994	A	1	21	5
22	15/03/1994	A	1	22	2.5
23	15/03/1994	A	1	23	2
24	15/03/1994	A	1	24	2.5
25	15/03/1994	A	1	25	2.5
26	15/03/1994	A	2	1	1
27	15/03/1994	A	2	2	1
28	15/03/1994	A	2	3	0.5
29	15/03/1994	A	2	4	1.5
30	15/03/1994	A	2	5	2
31	15/03/1994	A	2	6	2.5
32	15/03/1994	A	2	7	3
33	15/03/1994	A	2	8	3
34	15/03/1994	A	2	9	3
35	15/03/1994	A	2	10	6
36	15/03/1994	A	2	11	4
37	15/03/1994	A	2	12	3
38	15/03/1994	A	2	13	2
39	15/03/1994	A	2	14	3
40	15/03/1994	A	2	15	3
41	15/03/1994	A	2	16	3.5
42	15/03/1994	A	2	17	3
43	15/03/1994	A	2	18	4
44	15/03/1994	A	2	19	5.5
45	15/03/1994	A	2	20	3
46	15/03/1994	A	2	21	1.5
47	15/03/1994	A	2	22	1
48	15/03/1994	A	2	23	4.5
49	15/03/1994	A	2	24	4
50	15/03/1994	A	2	25	4
51	15/03/1994	A	3	1	1.5
52	15/03/1994	A	3	2	1
53	15/03/1994	A	3	3	4
54	15/03/1994	A	3	4	2
55	15/03/1994	A	3	5	1.5
56	15/03/1994	A	3	6	2
57	15/03/1994	A	3	7	1
58	15/03/1994	A	3	8	1
59	15/03/1994	A	3	9	1
60	15/03/1994	A	3	10	1.5
61	15/03/1994	A	3	11	1.5
62	15/03/1994	A	3	12	1
63	15/03/1994	A	3	13	1.5
64	15/03/1994	A	3	14	2.5
65	15/03/1994	A	3	15	2.5
66	15/03/1994	A	3	16	3.5
67	15/03/1994	A	3	17	4.5
68	15/03/1994	A	3	18	2.5
69	15/03/1994	A	3	19	2
70	15/03/1994	A	3	20	2.5
71	15/03/1994	A	3	21	1.5
72	15/03/1994	A	3	22	1.5
73	15/03/1994	A	3	23	2.5
74	15/03/1994	A	3	24	1.5
75	15/03/1994	A	3	25	3
76	15/03/1994	A	4	1	2
77	15/03/1994	A	4	2	2
78	15/03/1994	A	4	3	1.5
79	15/03/1994	A	4	4	2
80	15/03/1994	A	4	5	2.5
81	15/03/1994	A	4	6	4
82	15/03/1994	A	4	7	4
83	15/03/1994	A	4	8	2
84	15/03/1994	A	4	9	2.5
85	15/03/1994	A	4	10	3.5
86	15/03/1994	A	4	11	4
87	15/03/1994	A	4	12	6
88	15/03/1994	A	4	13	2.5
89	15/03/1994	A	4	14	2.5
90	15/03/1994	A	4	15	3.5
91	15/03/1994	A	4	16	3.5
92	15/03/1994	A	4	17	2.5
93	15/03/1994	A	4	18	2
94	15/03/1994	A	4	19	1.5
95	15/03/1994	A	4	20	3
96	15/03/1994	A	4	21	3
97	15/03/1994	A	4	22	3
98	15/03/1994	A	4	23	3
99	15/03/1994	A	4	24	4
100	15/03/1994	A	4	25	7
101	15/03/1994	A	5	1	1.5
102	15/03/1994	A	5	2	1
103	15/03/1994	A	5	3	1
104	15/03/1994	A	5	4	1
105	15/03/1994	A	5	5	1
106	15/03/1994	A	5	6	1
107	15/03/1994	A	5	7	1.5
108	15/03/1994	A	5	8	2
109	15/03/1994	A	5	9	1
110	15/03/1994	A	5	10	1
111	15/03/1994	A	5	11	0.5
112	15/03/1994	A	5	12	2.5
113	15/03/1994	A	5	13	4
114	15/03/1994	A	5	14	4
