Taxon	Petals	Internode	Sepal	Bract	Petiole	Leaf	Fruit
I	5.621498349	29.48059578	2.462106579	18.2034091	11.27909704	1.128032999	7.876151371
I	4.994616997	28.36024706	2.429320759	17.65204912	11.0408378	1.197616585	7.025415554
I	4.767504884	27.25431792	2.570497375	19.4083846	10.49072184	1.003808444	7.81747899
I	6.299445616	25.9242382	2.066051345	18.37915478	11.80182252	1.614051727	7.672492324
I	6.489375001	25.21130805	2.901582763	17.31304737	10.12159001	1.813333082	7.758443087
I	5.7858682	25.52433147	2.655642742	17.07215724	10.5581605	1.955524186	7.880879829
I	5.645575295	27.72735671	2.278691288	18.2902189	10.11689319	1.414356176	7.332124408
I	4.828953215	27.6381855	2.238467716	19.87376227	10.43071493	1.603331861	7.005136448
I	6.783500773	27.88777529	2.202762147	19.85326662	10.47399775	1.533533943	7.656378638
I	5.395076839	25.10904979	2.538375992	19.56545356	11.55456651	1.048182185	7.505930435
I	4.683617783	29.2459239	2.601945544	18.95335451	11.8203702	1.408570649	7.954125122
I	4.444226444	25.48653519	2.918513379	19.52866206	10.27840842	1.783670318	7.674149643
I	5.381888649	28.53008566	2.931223681	17.62409776	10.67172405	1.637521266	7.034974714
I	4.162398141	27.23922882	2.759099725	17.89805071	11.42458281	1.307677167	7.697990092
I	6.546125565	27.73424951	2.329725784	17.38995746	11.25045634	1.908787547	7.172021588
I	5.133151769	29.33237736	2.448247009	19.40622249	11.15433346	1.413823925	7.635342975
I	6.31750724	28.54598267	2.445203138	18.14507123	11.13155215	1.376095509	7.914687987
I	6.872582397	27.36377647	2.551340885	19.37856593	11.39634002	1.845322428	7.362050896
I	4.265699548	26.9166827	2.930159411	19.52993241	11.87800257	1.122888175	7.913177055
I	4.069245625	28.00872767	2.306900441	18.10018898	10.28587666	1.096098375	7.523188659
I	6.695262246	30.98241938	2.280554955	19.58999705	10.01733931	1.993469856	7.447146231
I	5.804502115	27.60866985	2.541535351	19.99502062	10.71206051	1.078787122	7.634464001
I	5.649255792	26.0145167	2.630009346	19.73151656	11.56895111	1.97965464	7.282278565
I	4.975115406	29.83647166	2.533115646	17.85816577	11.09149866	1.399543824	7.469118495
I	5.242381538	29.25618227	2.940088125	18.68002039	10.03097795	1.131223326	7.424061646
I	5.063066089	30.23405514	2.816805174	17.11427146	10.65715001	1.955607401	7.920755239
I	5.006042848	27.92346287	2.054945288	17.89395755	10.29285526	1.231612531	7.948526777
I	5.980790831	27.59682027	2.829002908	19.19108937	10.55412055	1.877992273	7.692805714
I	5.980731581	29.63982123	2.848883669	17.32272728	10.44058419	1.97344425	7.256240749
I	5.398837951	29.95226918	2.097840425	19.13860803	11.39994465	1.407302231	7.751723047
II	6.461344123	26.50359879	2.102136053	17.90343004	8.053338501	1.326542324	7.883368163
II	6.099551292	27.11167739	2.289501928	19.22044942	8.870216439	1.183490286	7.770059274
II	8.327221276	29.05157684	2.409757569	17.66771467	9.029627721	1.26942729	7.963455864
II	7.274136516	30.80407453	2.440411699	17.25971466	8.607824909	1.256742194	7.311366419
II	5.928707739	28.08394319	2.494621261	18.29162527	9.082412257	1.676413103	7.14092758
II	7.472687699	25.67400374	2.886730564	18.68570965	8.004758122	1.264413018	7.261090831
II	5.899870198	27.65872973	2.792196101	18.98842213	8.363500697	1.011574618	7.384380377
II	6.25920026	25.6526212	2.369232733	18.92776339	9.574328926	1.885649765	7.211005332
II	7.239731231	27.66079801	2.446000528	17.19825862	9.118366783	1.177664172	7.494688561
II	7.034400661	27.96526566	2.382512697	17.73184505	7.11416084	1.051164699	7.547684363
II	6.482874866	30.14202148	2.868524403	17.08417076	9.807589227	1.699837425	7.019451612
II	7.948038689	30.06089763	2.989488653	19.2750217	7.967774532	1.314673872	7.245603857
II	6.321943933	25.34356215	2.979392008	19.62205449	8.147660414	1.623425712	7.286809896
II	8.44534738	28.39186703	2.820234277	19.83109823	7.80691107	1.875239751	7.971314828
II	6.390603366	25.79406679	2.73215676	17.84969958	9.307595882	1.940924043	7.49425656
II	7.749643196	30.79793201	2.722867743	19.53359813	8.533136344	1.026353332	7.305005476
II	7.879810751	27.75826448	2.495427305	18.10118967	7.566014405	1.027403848	7.67010785
II	8.255364481	25.18346837	2.802887568	17.417764	7.4614574	1.344517762	7.340519113
II	6.568547436	28.11084956	2.370134919	19.49423984	9.607106978	1.720265129	7.44953805
II	6.338346926	25.92147745	2.306362851	18.56344641	7.031611779	1.935156098	7.124513567
II	7.539138058	28.097958	2.000888311	18.24113592	9.09326364	1.379369878	7.059071993
II	7.508846778	25.31344398	2.935428006	17.82985267	9.576184582	1.002894317	7.357371955
II	7.018184544	26.60133135	2.049775809	19.61701848	9.342758935	1.636416932	7.961301791
II	6.224390617	26.94316327	2.059549346	18.37249639	8.869481409	1.462019483	7.156218048
II	7.374233054	30.07446563	2.04545636	17.92105885	7.810899911	1.704671684	7.428778576
II	7.976802218	26.59492923	2.638239679	18.3529387	9.482005914	1.791931152	7.245717475
II	6.808560142	30.06794931	2.363214832	17.84496968	8.414059473	1.767168513	7.402652738
II	5.503136484	28.59816911	2.344191259	18.08125458	8.112068798	1.573293679	7.663868872
II	6.937394391	29.88675626	2.513679642	19.63517869	9.261641463	1.52854488	7.067521849
II	7.784294407	25.10122725	2.059090227	19.72386238	7.214786616	1.050597363	7.343408926
III	6.189350187	30.42074486	2.536448769	17.68642997	10.38179597	2.263311912	7.8303941
III	8.242170264	25.40319237	2.674684154	18.06269239	9.980931297	2.690137127	7.511780312
III	5.98814603	26.02021569	2.284407279	17.33593411	9.148920616	2.048049441	7.405769249
III	6.216139384	25.80620976	2.375217023	19.84285787	9.972026747	2.10489049	7.271118074
III	7.338874124	30.05406054	2.217712598	19.34112232	9.69733753	2.340828959	7.861934811
III	5.716748628	30.19655036	2.366749755	17.79633418	9.974531283	2.492533042	7.273110265
III	7.822257104	25.58904474	2.060671828	17.43194152	10.29438157	2.378332476	7.427239974
III	7.021003978	27.2763774	2.069353885	17.7316552	9.544079797	2.814577363	7.135112514
III	6.914044117	26.57036081	2.335833099	18.21972214	10.83033806	2.175609315	7.151322621
III	6.461252769	28.781522	2.428194251	17.52506926	9.172738369	2.870407597	7.350791705
III	5.597423592	30.59553441	2.507061763	17.3391796	9.886172148	2.484340453	7.336659453
III	5.931079555	26.0114503	2.064901525	18.71680604	10.51931692	2.918919159	7.543810325
III	6.766287404	29.72137423	2.60920281	18.38606883	10.63409329	2.91638364	7.972527444
III	7.342572936	26.88428695	2.192125115	19.21597228	9.852831149	2.01505639	7.403353722
III	6.04278248	27.85011969	2.072081927	18.69773011	9.077365602	2.080136988	7.548229539
III	5.800720905	27.29347801	2.12793368	17.04141579	9.230232097	2.236683848	7.373628372
III	7.513987686	26.51549049	2.647999372	19.37849421	10.53207388	2.683396281	7.615567728
III	6.507046241	29.90004717	2.213157546	18.82561505	9.920248309	2.846200572	7.701986765
III	8.33510984	29.63126752	2.631581835	18.99938911	9.181298505	2.747139776	7.423347594
III	6.747723721	29.94625755	2.976526542	18.63439355	9.955272437	2.871070692	7.908047697
III	8.028648134	27.46340936	2.678494903	19.01308293	9.153256302	2.996592027	7.147758571
III	5.987304213	27.41131442	2.709766455	18.12145645	10.55279809	2.741626007	7.348252222
III	6.94865465	25.78691822	2.827682581	18.45777697	9.452671454	2.720342924	7.396403725
III	7.371298063	26.59176315	2.881951981	18.46164212	9.109002619	2.69918695	7.292313893
III	6.152259143	28.97388363	2.861728503	17.42120934	9.937376978	2.926358085	7.026069913
III	6.971025645	29.77905586	2.246957032	17.33087212	9.401956497	2.974077158	7.243938469
III	8.076845237	29.37558012	2.576337903	18.12903218	9.037408763	2.62309522	7.931028548
