volume	girth	height
0.7458	66.23	21
0.7458	68.62	19.5
0.7386	70.22	18.9
1.1875	83.79	21.6
1.3613	85.38	24.3
1.4265	86.18	24.9
1.1296	87.78	19.8
1.3179	87.78	22.5
1.6365	88.57	24
1.441	89.37	22.5
1.7524	90.17	23.7
1.5206	90.97	22.8
1.5496	90.97	22.8
1.5424	93.36	20.7
1.3831	95.76	22.5
1.6075	102.94	22.2
2.4475	102.94	25.5
1.9841	106.13	25.8
1.861	109.32	21.3
1.803	110.12	19.2
2.4982	111.71	23.4
2.2954	113.31	24
2.6285	115.7	22.2
2.7734	127.67	21.6
3.0847	130.07	23.1
4.0116	138.05	24.3
4.0333	139.64	24.6
4.2216	142.84	24
3.7292	143.63	24
3.693	143.63	24
5.5757	164.38	26.1
