time	status	diet
35	0	control
34	0	control
32	0	control
32	0	control
25	0	control
23	1	transgenic
23	1	control
22	1	transgenic
22	1	control
20	0	control
19	0	control
17	1	transgenic
17	0	control
16	1	control
15	1	transgenic
13	1	control
12	1	transgenic
12	1	transgenic
11	1	transgenic
11	1	transgenic
11	0	control
10	1	control
10	0	control
9	0	control
8	1	transgenic
8	1	transgenic
8	1	transgenic
8	1	transgenic
7	1	control
6	1	control
6	1	control
6	1	control
6	0	control
5	1	transgenic
5	1	transgenic
4	1	transgenic
4	1	transgenic
3	1	transgenic
2	1	transgenic
2	1	transgenic
1	1	transgenic
1	1	transgenic
