x	y	a	b
5.366516148	26.76594923	one	male
6.435777884	46.89376449	one	male
7.831232105	34.1141476	one	female
7.587142277	45.4966672	one	female
5.380938546	33.22162062	one	male
8.254098346	39.98920478	one	female
10.55648916	24.43327134	one	female
12.33666944	49.61091917	one	male
10.48721694	39.2902132	one	male
12.01418524	39.63691029	one	male
13.36988296	44.54903441	two	male
12.67721702	46.51997882	two	male
15.00493991	43.16511694	two	male
15.57144875	55.06651625	two	male
19.25483817	58.70913322	two	female
18.82235028	72.85044936	two	male
21.35876115	74.71626817	two	male
21.44988133	78.92278059	two	male
21.34115615	71.0812054	two	male
23.55119226	58.97131598	two	female
23.31586256	87.74729023	three	male
22.14283598	56.59043784	three	female
26.8487796	65.14306773	three	male
28.92104921	60.52122372	three	female
25.68090346	69.39124703	three	male
29.20952186	61.89014114	three	female
28.77084251	73.52916805	three	male
30.50093088	100.4125085	three	female
31.6987858	81.69902722	three	male
30.83201106	96.59936066	three	female
33.2372943	72.77411893	four	male
35.52395232	85.0751196	four	male
37.79235267	93.20267408	four	male
35.75221982	113.9152062	four	female
39.60746992	91.69300887	four	female
37.01870122	87.49319051	four	female
37.72126914	81.07711451	four	female
42.64082328	108.7947188	four	female
42.58206432	123.3863213	four	female
40.51031637	107.5145946	four	male
43.87371701	111.2868499	five	male
45.83137692	118.6064142	five	female
47.00935566	124.0467453	five	female
45.93857186	113.5386526	five	female
49.77082946	113.5602054	five	female
46.37277241	125.2299003	five	female
49.054437	133.304216	five	female
50.68244423	111.1586395	five	female
49.34144281	139.4516152	five	male
