Country	Latitude	Area	Population	Flora	Endemism	Continent
Afghanistan	30	636	14.3	3000	0.27	Asia
Albania	42	29	3	3200	0.008	Europe
Algeria	35	2382	21.3	3139	0.08	N.Africa
Andorra	42	0.5	0.034	1000	0	Europe
Angola	25	1247	8.5	5000	0.25	Africa
Antarctica	85	14000	0	2	0	Antarctica
Argentina	45	2777	30.1	9000	0.27	S.America
Australia	25	7682	15.5	23000	0.8	Australia
Austria	48	84	7.5	3000	0.012	Europe
Bahrain	26	0.66	0.4	175	0	Asia
"Balearic Islands"	40	5	0.62	1400	0.067	Europe
Bangladesh	23	144	98.5	5000	-1	Asia
Belgium	52	31	9.9	1700	0	Europe
Belize	14	23	0.16	3240	0.046	C.America
Benin	5	113	3.9	2000	0.006	Africa
Bhutan	30	47	1.4	5000	0.12	Asia
Bolivia	16	1099	6.2	16500	0.23	S.America
Botswana	25	575	1	2015	0.008	Africa
Brazil	10	8512	132.6	55000	0.5	S.America
Brunei	5	5.7	0.27	6000	-1	SE.Asia
Bulgaria	42	111	9.2	3600	0.015	Europe
"Burkina Faso"	15	274	6.8	1096	0	Africa
Burma	20	678	38.5	7000	0.153	SE.Asia
Burundi	0	28	4.5	2500	0.04	Africa
Cameroon	5	475	9.5	9000	0.017	Africa
Canada	55	9922	25.3	3220	0.045	N.America
"Central African Republic"	0	625	2.5	3600	0.025	Africa
Chad	10	1284	4.9	1600	-1	Africa
Chile	40	752	11.9	5500	0.5	S.America
China	35	9597	1051.6	30000	0.1	Asia
Colombia	5	1139	28.1	45000	0.05	S.America
Congo	0	342	1.7	4000	0.2	Africa
Corsica	42	8.7	0.23	2200	0.014	Europe
"Costa Rica"	12	51	2.5	8000	0.17	C.America
Crete	35	8.3	0.46	1700	0.09	Europe
Cuba	20	114	10	7000	0.5	C.America
Cyprus	35	9.2	0.7	2000	0.058	Europe
Czechoslovakia	46	128	15.6	2700	0.006	Europe
Denmark	55	43	5.1	1400	0.001	Europe
"Dominican Republic"	20	48	6.1	5000	0.36	C.America
Ecuador	0	461	9.1	15000	0.3	S.America
Egypt	26	1000	45.7	2085	0.034	N.Africa
"El Salvador"	11	21	5.9	2500	0.008	C.America
Ethiopia	10	1023	35.4	6283	0.1	N.Africa
Finland	65	337	4.9	1300	0	Europe
France	45	550	54.4	4400	0.017	Europe
"French Guiana"	5	91	0.072	7000	0.026	S.America
Gabon	5	268	1.1	7000	0.2	Africa
Galapagos	0	7.8	0.004	543	0.42	S.America
Gambia	5	11	0.63	530	0.006	Africa
"Germany East"	52	249	61.2	2476	0.001	Europe
"Germany West"	52	108	16.7	1842	0.002	Europe
Ghana	6	238	13	3600	0.012	Africa
Greece	42	132	9.9	5500	0.2	Europe
Greenland	75	2176	0.054	497	0.03	N.America
Guatemala	12	109	8.2	8000	0.15	C.America
Guinea	6	246	5.3	3000	0.03	Africa
Guyana	6	215	0.9	8000	-1	S.America
Haiti	20	28	6.4	5000	0.36	C.America
Hawaii	20	16.6	0.97	950	0.98	Pacific
Honduras	20	112	4.2	5000	0.03	C.America
"Hong Kong"	20	1	5.5	2500	0.01	SE.Asia
Hungary	45	93	10.8	2400	0.018	Europe
